Year,Pos,Player,Similar
1993,PF,Tom Chambers,4.66206267396137
1993,PG,B.J. Armstrong,5.65260105005639
1992,SF,Derrick McKey,3.38577060877169
1992,PF,Xavier McDaniel,3.51020945556008
1992,SG,Anthony Peeler,4.05323423400487
1992,PG,Randy Brown,4.42212046264535
1992,C,Fred Roberts,4.60206394651103
1991,SG,Anthony Bowie,2.38677242904457
1991,SF,Derrick McKey,2.90959649441531
1991,PF,Fred Roberts,3.38890090410516
1991,C,Bill Laimbeer,4.041929291341
1991,PG,Kevin Edwards,4.80892737903803
1990,PF,Rodney McCray,2.62385665056639
1990,SG,Nick Anderson,2.79178704475632
1990,SF,Dan Majerle,2.99877373749292
1990,C,Jack Sikma*,4.4905426181433
1990,PG,Rex Chapman,5.20234955447212
1989,PF,Mark Alarie,3.10007113905974
1989,SF,Otis Smith,3.37676091897595
1989,SG,Dennis Hopson,3.51279511349593
1989,C,Tod Murphy,4.84741178782185
1989,PG,Sedale Threatt,5.66826899828978
1988,SG,Otis Smith,3.02669422965365
1988,SF,Derrick McKey,3.44994037388978
1988,PF,Detlef Schrempf,3.8592752792844
1988,PG,Sidney Moncrief*,4.88714707779251
1988,C,Scott Hastings,5.24738891265899
1987,SG,Otis Smith,3.12852729840722
1987,SF,John Williams,3.3178849166592
1987,PF,Tom Chambers,4.13925574053092
1987,C,Joe Wolf,4.20497019778886
1987,PG,Steve Colter,5.74078551855789
1986,SF,Albert King,3.58920781220824
1986,C,Alvan Adams,3.74349265359474
1986,SG,Chris Mullin*,3.81958488354229
1986,PF,Sam Perkins,4.92899191582832
1986,PG,Darrell Walker,5.72491251530961
1985,SF,Mike Sanders,2.88934964862497
1985,PF,Mickey Johnson,3.78263381254219
1985,SG,Mike Woodson,4.21558262723126
1985,C,Steve Stipanovich,4.32393601083922
1985,PG,Dennis Johnson*,5.32379083893257
1984,SG,Al Wood,3.10744114951471
1984,PF,Mickey Johnson,3.85529288980694
1984,SF,Marques Johnson,4.0510951973685
1984,C,Dan Issel*,4.29338690708017
1984,PG,Dennis Johnson*,5.23571066132786
1983,SF,George Johnson,3.25989668489076
1983,PF,Lonnie Shelton,3.35247059895435
1983,SG,Al Wood,3.5966090684262
1983,C,Steve Stipanovich,3.74399586972032
1983,PG,Sleepy Floyd,4.40305528515648
1982,SG,Vinnie Johnson,3.35585292070027
1982,SF,Michael Brooks,3.44437229308901
1982,PF,Lonnie Shelton,3.71135653935426
1982,PG,Dennis Johnson*,4.19638190991729
1982,C,Dan Issel*,4.69058723066915
1981,SF,Albert King,2.93779382667787
1981,PF,Steve Hawes,3.14111755379378
1981,SG,Vinnie Johnson,3.52638545546197
1981,C,Bob Lanier*,4.25276551531188
1981,PG,Gerald Henderson,5.02804879507099
